record_id,date,property_type,location,competitor_price,dynamic_price,demand_forecast,available_units,units_sold,revenue,resource_utilization,customer_id,customer_age,customer_gender,loyalty_tier,booking_channel,booking_lead_time_days,segment,campaign_id,promo_sent,promo_response,promo_click_rate,sentiment_score,ancillary_purchase,avg_spend_on_site,staff_hours,maintenance_flag,energy_consumption,delay_minutes,risk_level,route_distance_km,flight_speed_knots,fdm_anomaly_flag
58,2024-09-04,Hotel,SYD,285.76,359.65,0.76,171,127,45675.55,0.743,30004,26,F,Silver,Agent,21,Business,CAMP_A,True,False,0.58,-0.03,False,28.88,4.26,False,120.41,5.07,Medium,,,
59,2024-04-24,Hotel,HKG,175.43,272.5,1.05,268,268,73030.0,1.0,14303,38,F,None,OTA,69,Leisure,CAMP_A,True,False,0.46,0.02,False,74.86,8.49,True,126.47,9.76,Medium,,,
60,2024-08-11,Flight,LHR,188.79,241.44,0.78,328,256,61808.64,0.78,38283,49,M,Silver,Corporate,66,Leisure,CAMP_A,True,False,0.25,0.04,False,65.73,34.61,False,2473.72,21.97,Low,4192.0,892.8,False
61,2024-01-01,Hotel,HKG,127.84,118.1,0.42,140,63,7440.3,0.45,26648,62,F,Silver,Direct,16,Leisure,CAMP_C,True,True,0.42,0.53,True,23.48,5.59,False,119.26,4.79,High,,,
62,2024-09-29,Flight,HKG,552.11,690.7,0.75,129,94,64925.8,0.729,16596,20,M,Silver,OTA,52,Other,NONE,False,False,0.0,-0.24,False,112.72,33.28,False,1689.23,40.95,Low,12560.0,877.82,False
63,2024-11-21,Flight,HKG,404.89,463.47,0.64,161,107,49591.29,0.665,42436,60,F,Silver,Corporate,71,Family,CAMP_A,True,False,0.12,-0.41,False,38.32,30.8,False,2117.81,83.82,Medium,8932.0,853.36,False
64,2024-01-11,Flight,LHR,706.26,909.38,0.79,333,263,239166.94,0.79,28859,59,F,Gold,Agent,23,Business,NONE,False,False,0.0,-0.11,True,17.43,21.74,False,1509.76,33.1,Low,6254.0,892.3,False
65,2024-05-23,Hotel,SIN,205.22,196.09,0.46,92,38,7451.42,0.413,40154,42,M,None,Corporate,10,Leisure,CAMP_A,True,False,0.35,-0.4,False,37.66,7.3,False,227.55,0.55,Low,,,
66,2024-06-18,Hotel,SIN,170.94,212.91,0.75,96,72,15329.52,0.75,31290,48,F,Silver,Direct,62,Business,NONE,False,False,0.0,0.22,False,31.99,7.4,False,165.94,3.38,Medium,,,
67,2024-04-03,Hotel,LHR,274.71,403.82,0.97,236,226,91263.32,0.958,12251,19,F,Silver,Corporate,50,Business,CAMP_A,True,False,0.37,0.08,False,81.03,6.88,False,141.36,0.22,Low,,,
68,2024-07-05,Hotel,HKG,83.31,106.14,0.77,130,99,10507.86,0.762,29580,67,M,Gold,OTA,114,Other,NONE,False,False,0.0,1.08,True,44.19,5.68,True,114.12,3.52,Medium,,,
69,2024-08-29,Flight,CDG,563.86,670.67,0.69,125,84,56336.28,0.672,28909,31,F,Silver,Agent,44,Family,CAMP_B,True,False,0.37,0.83,False,36.32,27.52,False,2185.79,24.19,Low,2321.0,894.07,False
70,2024-02-07,Hotel,SYD,251.19,279.48,0.61,298,185,51703.8,0.621,16145,19,F,Gold,Agent,34,Business,CAMP_B,True,False,0.5,-0.6,False,24.18,8.98,False,133.43,4.67,Low,,,
71,2024-02-20,Flight,CDG,628.53,797.09,0.77,163,127,101230.43,0.779,49670,52,F,None,OTA,38,Business,NONE,False,False,0.0,1.11,True,64.92,25.74,False,2020.42,5.77,Low,14924.0,843.42,False
72,2024-07-19,Flight,DXB,360.73,431.69,0.7,183,126,54392.94,0.689,36927,56,F,Gold,OTA,36,Leisure,CAMP_C,True,False,0.6,-0.46,False,31.78,24.53,False,2179.88,9.12,Medium,620.0,851.16,False
73,2024-08-01,Hotel,HKG,269.32,332.36,0.73,70,47,15620.92,0.671,15950,21,M,Gold,Corporate,29,Leisure,CAMP_A,True,False,0.4,0.57,False,53.66,8.02,False,128.05,11.43,Medium,,,
74,2024-06-13,Hotel,CDG,190.7,250.99,0.82,149,122,30620.78,0.819,34576,28,M,Platinum,OTA,13,Leisure,CAMP_A,True,False,0.18,-0.2,True,67.88,7.8,False,138.04,9.11,Low,,,
75,2024-06-08,Flight,SIN,362.04,376.28,0.54,349,187,70364.36,0.536,22915,61,F,None,OTA,96,Leisure,NONE,False,False,0.0,-0.99,True,89.33,21.71,False,1938.48,7.5,Low,14313.0,848.76,False
76,2024-03-25,Flight,DXB,458.02,529.75,0.66,238,152,80522.0,0.639,17312,42,F,Silver,OTA,110,Business,CAMP_A,True,False,0.57,0.29,False,47.73,33.0,False,2189.12,48.26,Low,6826.0,781.81,False
77,2024-05-30,Hotel,SYD,253.03,347.31,0.87,241,211,73282.41,0.876,17344,22,M,Silver,OTA,17,Leisure,CAMP_C,True,False,0.42,-0.38,False,73.39,10.56,False,269.31,18.34,Low,,,
78,2024-12-07,Hotel,CDG,245.74,362.08,0.97,112,111,40190.88,0.991,33489,51,M,Gold,Direct,85,Leisure,CAMP_A,True,False,0.53,0.13,True,67.94,9.55,False,241.38,21.62,Low,,,
79,2024-05-07,Flight,CDG,467.73,566.81,0.71,373,266,150771.46,0.713,38897,46,F,Gold,OTA,13,Business,CAMP_A,True,False,0.25,0.06,False,143.47,30.27,False,2317.26,4.41,Low,6835.0,834.54,False
80,2024-02-04,Hotel,SIN,233.18,305.9,0.81,167,137,41908.3,0.82,10121,49,F,None,OTA,75,Leisure,CAMP_A,True,False,0.54,0.01,False,43.55,7.94,False,145.49,2.61,Low,,,
81,2024-08-08,Hotel,SIN,224.91,317.51,0.91,51,48,15240.48,0.941,47498,33,M,Silver,Direct,0,Family,NONE,False,False,0.0,0.11,True,14.55,8.07,False,147.48,6.63,Low,,,
82,2024-09-19,Hotel,CDG,204.19,247.82,0.71,61,38,9417.16,0.623,48244,19,F,None,OTA,67,Leisure,CAMP_C,True,False,0.01,0.19,True,90.29,9.22,False,166.49,17.48,Medium,,,
83,2024-03-26,Flight,CDG,233.54,310.0,0.83,265,221,68510.0,0.834,20296,42,M,Platinum,OTA,105,Business,NONE,False,False,0.0,0.24,False,95.53,29.58,False,1492.17,39.81,Low,7736.0,846.53,True
84,2024-02-02,Hotel,JFK,205.37,256.12,0.75,57,37,9476.44,0.649,34643,45,F,None,Agent,120,Business,NONE,False,False,0.0,0.42,True,27.98,7.74,False,108.5,2.67,Low,,,
85,2024-06-20,Hotel,LHR,215.63,220.61,0.52,134,74,16325.14,0.552,26848,37,M,None,Corporate,83,Business,CAMP_A,True,False,0.11,-0.32,False,66.73,8.22,False,160.16,7.53,Low,,,
86,2024-06-22,Hotel,JFK,205.31,285.71,0.89,131,117,33428.07,0.893,40279,68,M,None,Corporate,20,Business,CAMP_C,True,False,0.56,0.05,False,31.71,7.07,False,158.49,7.46,Low,,,
87,2024-07-16,Flight,LHR,340.71,455.06,0.84,257,216,98292.96,0.84,13355,68,M,None,Agent,24,Business,CAMP_B,True,True,0.47,-0.28,True,40.21,26.98,False,1746.67,16.18,Low,2819.0,802.59,False
88,2024-08-14,Hotel,DXB,215.97,332.67,1.04,59,59,19627.53,1.0,28060,45,M,Silver,Corporate,33,Family,NONE,False,False,0.0,0.12,False,53.86,7.81,False,128.7,11.55,High,,,
89,2024-05-12,Hotel,SIN,308.55,400.29,0.8,245,193,77255.97,0.788,21610,45,F,Silver,Agent,110,Business,CAMP_B,True,False,0.15,0.28,True,34.3,6.68,False,195.15,9.45,Low,,,
90,2024-05-06,Flight,DXB,531.8,697.25,0.81,125,98,68330.5,0.784,24100,45,F,None,Corporate,58,Other,NONE,False,False,0.0,0.16,False,80.1,29.6,False,2371.97,12.89,Low,3678.0,971.31,False
91,2024-07-22,Flight,CDG,640.93,916.93,0.93,149,138,126536.34,0.926,43281,25,F,None,Agent,24,Business,NONE,False,False,0.0,-0.95,False,61.21,33.1,False,2252.76,16.98,Low,6728.0,809.24,False
92,2024-12-24,Flight,DXB,477.91,575.82,0.7,245,170,97889.4,0.694,18692,60,M,Silver,Corporate,99,Business,NONE,False,False,0.0,0.44,False,69.53,31.63,False,2426.93,8.5,Low,11497.0,861.93,False
93,2024-03-26,Flight,HKG,348.26,354.22,0.52,152,74,26212.28,0.487,29079,24,F,Silver,Agent,53,Family,CAMP_C,True,False,0.38,0.45,False,59.49,25.07,False,2661.75,17.1,Low,1287.0,880.94,False
94,2024-11-04,Flight,HKG,455.59,555.98,0.72,349,246,136771.08,0.705,40139,52,M,Gold,Direct,60,Other,CAMP_A,True,False,0.32,-0.49,True,27.51,26.29,False,1873.79,37.16,Low,6561.0,841.65,False
95,2024-11-19,Hotel,CDG,193.09,227.76,0.68,244,163,37124.88,0.668,36237,37,F,Silver,Agent,107,Business,NONE,False,False,0.0,-0.52,False,173.73,7.09,True,114.67,31.87,Medium,,,
96,2024-08-27,Flight,LHR,750.25,987.65,0.82,281,230,227159.5,0.819,18407,61,F,Silver,OTA,31,Other,CAMP_B,True,False,0.23,0.12,False,61.72,33.13,False,1742.53,41.37,Low,6341.0,905.67,False
97,2024-03-06,Hotel,HKG,245.09,323.52,0.82,286,235,76027.2,0.822,40150,48,F,Gold,Agent,32,Family,CAMP_B,True,False,0.19,1.1,False,9.64,7.71,False,117.52,1.65,Medium,,,
98,2024-11-11,Hotel,SIN,215.03,263.27,0.72,173,122,32118.94,0.705,31955,28,M,Gold,Agent,109,Leisure,NONE,False,False,0.0,-0.02,False,106.12,5.26,False,114.89,12.27,Low,,,
99,2024-03-23,Hotel,DXB,237.04,305.67,0.79,161,122,37291.74,0.758,38504,47,M,None,Direct,67,Family,CAMP_B,True,False,0.35,0.37,True,164.55,3.73,False,158.91,14.31,Medium,,,
100,2024-12-25,Hotel,LHR,136.84,171.38,0.75,278,207,35475.66,0.745,37512,58,M,Platinum,OTA,87,Other,CAMP_A,True,False,0.16,-0.08,True,7.73,8.69,False,173.41,0.22,Low,,,
101,2024-04-25,Flight,JFK,456.91,610.54,0.84,287,243,148361.22,0.847,32771,67,M,None,OTA,114,Leisure,NONE,False,False,0.0,-0.01,False,88.15,35.98,True,1929.18,15.67,Low,896.0,831.19,True
102,2024-02-09,Flight,DXB,632.5,908.29,0.94,236,220,199823.8,0.932,23164,64,M,None,Corporate,41,Business,CAMP_A,True,True,0.11,0.85,True,107.23,32.76,False,1975.24,11.11,Low,2315.0,887.31,False
103,2024-09-16,Hotel,LHR,161.09,222.87,0.88,180,159,35436.33,0.883,44127,49,F,Silver,OTA,49,Leisure,NONE,False,False,0.0,-0.16,True,130.97,4.59,False,137.97,7.63,Medium,,,
104,2024-10-22,Flight,SIN,488.7,672.57,0.88,255,222,149310.54,0.871,28249,39,F,Platinum,Direct,29,Business,CAMP_B,True,True,0.54,-1.02,True,66.82,36.24,False,1866.12,15.2,Low,11464.0,877.5,False
105,2024-12-13,Hotel,DXB,132.55,150.52,0.64,203,125,18815.0,0.616,45842,32,F,None,Corporate,57,Family,CAMP_A,True,False,0.16,0.44,False,113.83,8.05,False,151.3,16.25,Low,,,
106,2024-02-14,Hotel,CDG,167.37,179.53,0.57,264,150,26929.5,0.568,32174,34,F,None,Direct,66,Other,CAMP_B,True,False,0.19,-0.28,True,7.75,10.71,False,115.58,1.98,Medium,,,
107,2024-02-12,Hotel,DXB,163.46,237.43,0.95,162,157,37276.51,0.969,46220,19,F,Silver,Corporate,25,Family,CAMP_A,True,False,0.59,0.17,True,23.55,3.97,False,186.52,3.59,Low,,,
108,2024-11-05,Hotel,HKG,160.27,181.93,0.64,266,163,29654.59,0.613,18677,26,M,Gold,Direct,89,Business,CAMP_B,True,True,0.26,-0.13,False,35.21,11.77,False,140.82,10.0,Low,,,
109,2024-09-06,Hotel,SIN,175.84,181.48,0.53,88,47,8529.56,0.534,13222,68,M,Silver,Direct,70,Business,CAMP_C,True,False,0.35,0.6,False,16.07,8.21,False,167.24,8.61,Medium,,,
110,2024-09-09,Flight,JFK,463.81,510.45,0.6,258,152,77588.4,0.589,37405,59,M,None,Agent,53,Business,CAMP_C,True,False,0.08,0.0,False,40.67,35.42,False,1587.67,5.86,Medium,8589.0,762.15,False
111,2024-08-02,Flight,HKG,574.73,650.91,0.63,156,97,63138.27,0.622,32917,20,M,Gold,Direct,102,Leisure,NONE,False,False,0.0,0.72,False,18.36,34.06,False,1891.73,4.84,Medium,7388.0,921.64,False
112,2024-07-01,Flight,SIN,482.41,631.38,0.81,151,123,77659.74,0.815,49440,50,F,Gold,Corporate,39,Leisure,CAMP_C,True,True,0.32,0.62,True,19.42,28.42,False,1535.79,23.13,Low,6592.0,842.29,False
113,2024-09-24,Hotel,CDG,183.2,203.69,0.61,251,151,30757.19,0.602,15895,45,F,Platinum,Corporate,92,Business,CAMP_A,True,False,0.09,0.15,True,11.26,8.9,False,182.42,15.83,Low,,,
114,2024-08-20,Hotel,HKG,177.35,232.14,0.81,117,90,20892.6,0.769,38844,57,F,Platinum,Corporate,113,Business,CAMP_A,True,False,0.09,0.19,False,73.73,8.69,False,196.03,2.93,Low,,,
115,2024-03-05,Flight,CDG,352.6,459.74,0.8,253,204,93786.96,0.806,23912,49,M,None,Agent,108,Leisure,CAMP_B,True,True,0.42,-0.23,False,14.7,32.55,False,1557.81,13.35,Low,3659.0,751.16,False
116,2024-04-11,Flight,SIN,393.08,456.65,0.66,388,257,117359.05,0.662,40381,20,M,None,Direct,66,Business,CAMP_A,True,True,0.57,0.47,True,56.0,24.96,False,2279.16,23.56,Medium,8363.0,842.97,False
117,2024-05-09,Flight,CDG,548.35,721.61,0.82,275,226,163083.86,0.822,24589,32,M,None,Direct,53,Other,CAMP_B,True,False,0.29,-0.52,False,51.5,25.02,False,1799.12,49.61,Low,14674.0,815.48,False
118,2024-03-02,Flight,LHR,466.0,502.77,0.58,328,192,96531.84,0.585,28416,31,F,None,Direct,24,Business,NONE,False,False,0.0,0.58,True,24.25,26.53,False,1970.91,14.91,High,12183.0,875.57,False
119,2024-10-08,Hotel,LHR,221.44,311.95,0.91,84,75,23396.25,0.893,28276,54,M,Silver,Agent,109,Leisure,NONE,False,False,0.0,0.27,True,81.77,6.27,False,118.38,0.76,Medium,,,
120,2024-07-25,Hotel,SYD,256.97,257.76,0.5,212,101,26033.76,0.476,29207,55,M,None,Direct,94,Other,CAMP_C,True,False,0.46,0.36,False,47.69,6.53,False,176.8,33.46,Low,,,
121,2024-05-13,Flight,JFK,278.41,419.18,1.01,177,175,73356.5,0.989,33372,64,M,None,OTA,94,Business,CAMP_A,True,False,0.24,-0.2,True,18.86,30.65,False,1852.42,19.37,Low,1323.0,848.51,False
